same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
Yes,I had an in-person job or internship,26+,Technology / Computer Work,Very poorly,Not likely at all,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Work part-time",No,No,No,Yes,Yes,Yes,No,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,Eating out,I don't pay for any household bills",Most of the time,Sometimes,Never,This does not apply to me,This does not apply to me,This does not apply to me,Never,Most of the time,Sometimes,Never,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Several days,Several days,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,21 to 25,Office Work / Administrative Work,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)","Enroll at a 2 year community college,Enroll in a career training program (e.g., City Academy, YearUp),Enroll in an apprenticeship program (e.g., construction, hospitality),Work full-time,Undecided",No,No,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Organizational skills (i.e. time management, keeping a calendar)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Prefer not to say,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,Male,Hispanic or Latino,"Yes, Spanish",Both of my parents
Yes,I had a mix of in-person and virtual/remote work,16 to 20,Health Care / Elder Care,Very well,Very likely,Very supportive,No,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Legal: (e.g.,  lawyer, judge, paralegal),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a technical/vocational school (e.g., cosmetology, nursing school)",Yes,No,Yes,Yes,Yes,Yes,Yes,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,"Computer skills (i.e. using Word or Excel, programming)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Groceries",Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Never,Never,Never,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,26+,Day Care / Day Camp,Neither well nor poorly,Not likely at all,Very supportive,No,Yes,Yes,No,No,Yes,Somewhat Good,Yes,,Yes,Yes,"Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner),Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair),Production: (e.g.,  machinist, welder, woodworker, factory worker/ operator),Transportation: (e.g.,  pilot, flight attendant, truck driver, train engineer)","Enroll in an apprenticeship program (e.g., construction, hospitality),Work part-time",Yes,No,No,Yes,Yes,Yes,No,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,"Communication skills (i.e. public speaking, writing emails)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Clothes/shoes,Eating out",Sometimes,Sometimes,Sometimes,Never,Never,This does not apply to me,Never,Never,Never,Never,Never,Never,Never,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
Yes,I had an in-person job or internship,26+,Library / Research / Writing,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Work full-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Computer skills (i.e. using Word or Excel, programming)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,Groceries,Eating out,Entertainment",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Several days,Several days,Several days,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
No,I had an in-person job or internship,26+,Peer Leader,Somewhat well,Likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer)",Enroll at a 4 year college/university,Yes,No,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Clothes/shoes,Eating out,Entertainment,Vacation/trip",Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Several days,Several days,Not at all,Not at all,Male,Asian (Not Hispanic or Latino),"Yes, Vietnamese",Both of my parents
No,I had a mix of in-person and virtual/remote work,21 to 25,Individual / Group Project Work,Somewhat well,Not sure / maybe,N/A - I did not have a job supervisor,,,,,,,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair),Transportation: (e.g.,  pilot, flight attendant, truck driver, train engineer)",,Yes,No,Yes,No,No,Yes,No,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Prefer not to say,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,This does not apply to me,This does not apply to me,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Several days,Not at all,Several days,Not at all,Male,Prefer not to say,"Yes, Spanish",Both of my parents
No,I had an in-person job or internship,21 to 25,Health Care / Elder Care,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 4 year college/university,Enroll at a technical/vocational school (e.g., cosmetology, nursing school),Work full-time",Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Clothes/shoes,Eating out,Entertainment",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Not at all,Not at all,Several days,Several days,Male,Asian (Not Hispanic or Latino),"Yes, Chinese",Both of my parents
Yes,,26+,Health Care / Elder Care,Very poorly,Likely,Not at all supportive,Yes,Yes,No,No,No,No,Not good At All,No,No,No,Yes,"Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian)","Enroll at a 2 year community college,Work full-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,"Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.",School tuition,Never,Never,Never,Never,Never,Never,Never,Never,Most of the time,Never,Never,Never,Never,Not at all,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),No other language,My grandparent(s)
No,I had an in-person job or internship,26+,Other,Very well,Probably not,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant)",Enroll at a 4 year college/university,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,"Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Groceries,Rent/mortgage,Utilities (gas/electric),Clothes/shoes,Eating out,Entertainment",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Never,Most of the time,Most of the time,Several days,Not at all,Not at all,Not at all,Female,White (Not Hispanic or Latino),"Yes, other (please write in)",Only my mother
No,I had an in-person job or internship,26+,Library / Research / Writing,Somewhat well,Probably not,Mostly supportive,Yes,Yes,Yes,No,Yes,Yes,Somewhat Good,Yes,No,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Legal: (e.g.,  lawyer, judge, paralegal),Education: (e.g.,  teacher, professor, or daycare provider)","Enroll at a 4 year college/university,Work part-time",Yes,No,Yes,Yes,No,Yes,Yes,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,"Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.",I don't pay for any household bills,Most of the time,Sometimes,This does not apply to me,Sometimes,This does not apply to me,This does not apply to me,Most of the time,Sometimes,Sometimes,Most of the time,Never,Sometimes,Not applicable (N/A),Not at all,Not at all,Several days,Several days,Male,Hispanic or Latino,No other language,Both of my parents
Yes,I had an in-person job or internship,26+,Office Work / Administrative Work,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer)","Enroll at a 4 year college/university,Work part-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,"Academic skills (i.e. reading, writing, math),Computer skills (i.e. using Word or Excel, programming)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,I don't pay for any household bills,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Hispanic or Latino,"Yes, Spanish",Both of my parents
Yes,I had an in-person job or internship,26+,Arts / Theater / Photography / Media,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,,Yes,"Life, Physical, and Social Sciences: (e.g.,  environmental scientist, biologist, sociologist),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer)","Enroll at a 4 year college/university,Work part-time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Rent/mortgage,Utilities (gas/electric)",Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,This does not apply to me,Sometimes,Most of the time,Sometimes,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),Several days,Not at all,Several days,Not at all,Female,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
