same_employer,job_format,hours_worked_per_week,daily_work_type,job_match_interests,consider_career_likelihood,supervisor_support,supervisor_properly_train,supervisor_understand_role,supervisor_understand_expectations,supervisor_give_feedback,supervisor_achieve_goals,supervisor_comfortable,experience_rating,job_reference_person,mentor_person,recommend_job,new_job_prepared,interested_in_pursuing,post_high_school_plans,prepared_resume,prepared_cover_letter,asked_adult_reference,searched_jobs_online,discussed_wanted_jobs,developed_interview_answers,practiced_interviewing,usually_on_time_school_work,rarely_absent_school,meet_deadlines,keep_track_assignments,work_independently,ask_for_help,work_in_teams,rarely_get_upset_or_lose_temper,rarely_get_upset_when_corrected,rarely_get_into_arguments_friends,rarely_get_into_arguments_parents_teachers,rarely_difficulty_resolving_arguments,often_eye_contact_during_conversation,skills_to_improve,typically_manage_money,household_items_paid_for,parent_role_model,sibling_role_model,family_role_model,teacher_role_model,coach_role_model,clergy_role_model,supervisor_role_model,contribute_family,contribute_friends,contribute_coworkers,contribute_neighborhood,contribute_school,contribute_worship,feeling_nervous,cannot_stop_worrying,feeling_down,little_interest_in_things,gender,race,second_language_spoken_at_home,adult_live_with
Yes,I had a mix of in-person and virtual/remote work,16 to 20,Other,Very well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer),Sales: (e.g.,  advertising, insurance, travel agent, real estate broker)",Undecided,Yes,No,Yes,No,Yes,No,Yes,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.","Cell phone,Clothes/shoes,Eating out,Entertainment,Vacation/trip",Most of the time,Most of the time,Most of the time,Most of the time,This does not apply to me,This does not apply to me,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Not applicable (N/A),Several days,Several days,More than half the days,More than half the days,Female,Black or African American (Not Hispanic or Latino),"Yes, Spanish",Only my mother
Yes,I had an in-person job or internship,10 or less,Other,Very well,Likely,Often supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,,Yes,Yes,"Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress),Building and Grounds Maintenance: (e.g.,  landscaper, housecleaner),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer),Farming, Fishing, and Forestry: (e.g.,  conservationist, agricultural inspector),Sports: (e.g., coach, athlete),I don’t know","Enroll at a 4 year college/university,Enroll at a technical/vocational school (e.g., cosmetology, nursing school),Enroll in a career training program (e.g., City Academy, YearUp),Work full-time",Yes,Yes,No,Yes,Yes,No,No,Neutral,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Strongly Agree,"Academic skills (i.e. reading, writing, math),Job readiness skills (i.e. writing a resume and interviewing)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Clothes/shoes,Eating out,Entertainment,Other household bills",Most of the time,Sometimes,Never,This does not apply to me,Sometimes,Never,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Never,Sometimes,Several days,Several days,Not at all,Several days,Female,Black or African American (Not Hispanic or Latino),,My grandparent(s)
Yes,I had an in-person job or internship,16 to 20,Technology / Computer Work,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress)","Enroll at a technical/vocational school (e.g., cosmetology, nursing school)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,Agree,"Academic skills (i.e. reading, writing, math)",Prefer not to say,Clothes/shoes,Most of the time,Never,Sometimes,This does not apply to me,This does not apply to me,This does not apply to me,Sometimes,Sometimes,Most of the time,Never,Most of the time,Never,Not applicable (N/A),Not at all,Several days,More than half the days,Not at all,Male,Black or African American (Not Hispanic or Latino),No other language,Both of my parents
No,I had an in-person job or internship,16 to 20,,Somewhat well,Very likely,Mostly supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager)",Work full-time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account),Computer skills (i.e. using Word or Excel, programming),Job readiness skills (i.e. writing a resume and interviewing)","I have a somewhat good idea about how much I spend on things, but I don't keep track of each item.","Cell phone,Rent/mortgage,Clothes/shoes,Eating out,Entertainment,Vacation/trip,Other household bills",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Only my mother
No,I had an in-person job or internship,21 to 25,Office Work / Administrative Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)",Other (please write in):,Yes,No,Yes,Yes,Yes,Yes,Yes,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.","Cell phone,Groceries,Rent/mortgage,Utilities (gas/electric),School tuition,Clothes/shoes,Entertainment",Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Several days,Not at all,Not at all,Not at all,Female,Black or African American (Not Hispanic or Latino),No other language,Only my mother
No,I had an in-person job or internship,21 to 25,Other,Very well,Likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),I don’t know",Undecided,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Computer skills (i.e. using Word or Excel, programming)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,T/bus pass,Car,Insurance",Most of the time,This does not apply to me,Sometimes,Most of the time,Most of the time,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not applicable (N/A),Not at all,Not at all,Not at all,Not at all,Male,Black or African American (Not Hispanic or Latino),"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
No,I had a mix of in-person and virtual/remote work,16 to 20,Other,Somewhat well,Not sure / maybe,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Installation and Repair: (e.g.,  aircraft mechanic, automotive, home repair),Sports: (e.g., coach, athlete)","Enroll at a technical/vocational school (e.g., cosmetology, nursing school),Take care of children and/or family members",Yes,No,Yes,No,Yes,Yes,No,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Neutral,"Organizational skills (i.e. time management, keeping a calendar)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Groceries,Clothes/shoes,Eating out",Most of the time,Sometimes,This does not apply to me,Sometimes,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Not applicable (N/A),Nearly every day,Several days,Several days,Several days,Male,Black or African American (Not Hispanic or Latino),No other language,Only my mother
No,I had an in-person job or internship,26+,Individual / Group Project Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker)","Enroll at a technical/vocational school (e.g., cosmetology, nursing school)",Yes,Yes,Yes,No,Yes,Yes,Yes,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,"Money management skills (i.e. paying bills, using savings account)","I don't have a good idea how much I spend on things, but I try to keep track of my overall spending.",I don't pay for any household bills,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Never,Never,Not applicable (N/A),Never,Not at all,Not at all,Not at all,Not at all,Female,Prefer not to say,"Yes, Cape Verdean/French/Haitian Creole",Both of my parents
No,I had a mix of in-person and virtual/remote work,16 to 20,Outdoor / Maintenance / Conservation,Neither well nor poorly,Probably not,Very supportive,Yes,Yes,Yes,Yes,No,Yes,Neither Good Nor Bad,,No,Yes,Yes,"Management: (e.g., CEO, director, manager),Computer and Mathematical: (e.g.,  web designer, software designer, computer programmer),Architecture and Engineering: (e.g.,  architect, civil, electrical, or mechanical engineer),Legal: (e.g.,  lawyer, judge, paralegal),Arts, Design, Entertainment: (e.g.,  artist, dancer, musician, graphic designer, fashion designer),Protective Services: (e.g.,  firefighter, police officer, security guard),I don’t know",,Yes,No,No,No,No,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Strongly Disagree,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Money management skills (i.e. paying bills, using savings account)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,Other household bills,Sometimes,Never,This does not apply to me,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Never,Sometimes,Sometimes,More than half the days,Several days,Several days,Nearly every day,Male,Prefer not to say,"Yes, Spanish",Only my mother
No,I had a virtual (remote) job or internship,16 to 20,Arts / Theater / Photography / Media,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Management: (e.g., CEO, director, manager),Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Education: (e.g.,  teacher, professor, or daycare provider),Healthcare Practitioner: (e.g.,  dentist, doctor, nurse, EMT, pharmacist, veterinarian),Healthcare Support: (e.g.,  home health aid, therapist, medical assistant),Protective Services: (e.g.,  firefighter, police officer, security guard),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress),Personal Care and Service: (e.g.,  hairdresser, travel guide, fitness trainer),Office and Administrative Support: (e.g.,  bank teller, postal worker, secretary)","Enroll at a 4 year college/university,Enroll at a technical/vocational school (e.g., cosmetology, nursing school),Enroll in a career training program (e.g., City Academy, YearUp),Work part-time",Yes,No,Yes,Yes,Yes,Yes,Yes,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,"Money management skills (i.e. paying bills, using savings account)",I don't have a good idea how much I spend in things and I don't keep track of my overall spending,"Cell phone,Groceries,Clothes/shoes,Eating out,Entertainment,Vacation/trip",Sometimes,Most of the time,Sometimes,This does not apply to me,Most of the time,Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Never,More than half the days,More than half the days,More than half the days,More than half the days,Female,Black or African American (Not Hispanic or Latino),No other language,"It depends, not always sure where you will stay"
Yes,I had a virtual (remote) job or internship,10 or less,Technology / Computer Work,Very well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Very Good,Yes,Yes,Yes,Yes,"Business and Financial: (e.g.,  marketer, accountant, loan officer, or investment banker),Community and Social Services: (e.g.,  community organizer, youth worker, or program leader),Food Preparation and Serving: (e.g.,  chef, cook, bartender, waiter or waitress)",Enroll at a 4 year college/university,Yes,Yes,No,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,,"Academic skills (i.e. reading, writing, math),Communication skills (i.e. public speaking, writing emails),Organizational skills (i.e. time management, keeping a calendar),Conflict resolution (i.e. finding nonviolent ways to solve disagreements with peers)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Groceries,Clothes/shoes",Most of the time,Never,Sometimes,Sometimes,This does not apply to me,This does not apply to me,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,More than half the days,Nearly every day,Several days,More than half the days,Female,Black or African American (Not Hispanic or Latino),No other language,My grandparent(s)
No,I had a virtual (remote) job or internship,11 to 15,Arts / Theater / Photography / Media,Somewhat well,Very likely,Very supportive,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Good,Yes,Yes,Yes,Yes,"Construction: (e.g.,  carpenter, painter, plumber, electrician, roofer)",Work full-time,No,No,Yes,No,No,No,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Academic skills (i.e. reading, writing, math)",I have a budget and keep close track of how much I spend on things like clothing and entertainment.,"Cell phone,Clothes/shoes",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Male,Hispanic or Latino,"Yes, Spanish",Only my mother
